Topic,Keywords
Topic_1,"expensive, expensive feature, feature offered, offered, feature, happy, quality, better"
Topic_2,"terrible, experience buy, experience, buy, terrible experience, late, late happy, delivery"
Topic_3,"product, better, product quality, quality, quality better, product satisfied, great, great product"
Topic_4,"excellent, excellent customer, customer service, customer, service, expectation, met expectation, special"
Topic_5,"recommend, highly recommend, highly, price happy, worth, purchase, worth price, happy purchase"
